,budget,company,country,director,genre,gross,film,rating,released,runtime,movie score,star,votes,writer,year,Oscar Award Count,Oscar Nominations,star avg score,director avg score,writer avg score,genre avg score,rating avg score,country avg score,company avg score,Golden Globes Awards,Golden Globes Nominations,Total Nominations,Total Awards
30,18000000,Pathé,USA,Danny Boyle,Adventure,18335230,127 Hours,R,2/21/86,94,7.6,James Franco,299503,Danny Boyle,2010,0.0,6.0,6.6,7.281818181818181,7.6,6.354846938775506,6.453213443396231,6.216789819376035,7.066666666666666,0.0,3.0,9.0,0.0
31,6000000,Sedic International,Japan,Takashi Miike,Action,802524,13 Assassins,R,2/28/86,141,7.6,Kôji Yakusho,54145,Kaneo Ikegami,2010,0.0,0.0,7.699999999999999,6.9750000000000005,7.6,6.1060856498873015,6.453213443396231,6.983823529411765,7.6,0.0,1.0,1.0,0.0
32,37000000,Revolution Studios,USA,Gary Winick,Comedy,57231747,13 Going on 30,PG-13,3/7/86,98,6.1,Jennifer Garner,132486,Josh Goldsmith,2004,0.0,0.0,6.116666666666667,6.14,6.25,6.1657692307692304,6.254035087719299,6.216789819376035,5.448484848484851,0.0,1.0,1.0,0.0
33,50000000,Paramount Pictures,Malta,Michael Bay,Action,52853219,13 Hours,R,3/7/86,144,7.3,John Krasinski,82656,Chuck Hogan,2016,0.0,0.0,7.199999999999999,6.608333333333333,7.3,6.1060856498873015,6.453213443396231,7.3,6.304247104247108,0.0,1.0,1.0,0.0
34,4000000,RADiUS-TWC,USA,Daniel Stamm,Horror,9134,13 Sins,R,3/7/86,93,6.3,Mark Webber,26332,David Birke,2014,0.0,0.0,6.3,5.949999999999999,6.3,5.68700361010831,6.453213443396231,6.216789819376035,6.3,0.0,1.0,1.0,0.0
35,0,Les Films de la Strada,France,Géla Babluani,Crime,121390,13 Tzameti,NOT RATED,3/7/86,93,7.4,George Babluani,15418,Géla Babluani,2005,0.0,0.0,7.4,7.4,7.4,6.756321839080459,6.959195402298849,6.8533568904593585,7.4,0.0,1.0,1.0,0.0
36,47000000,Gaumont,France,Ridley Scott,Adventure,7191399,1492: Conquista del Paraíso,PG-13,3/14/86,154,6.5,Gérard Depardieu,24155,Rose Bosch,1992,0.0,0.0,6.736363636363635,6.915789473684211,6.5,6.354846938775506,6.254035087719299,6.8533568904593585,6.9,0.0,0.0,0.0,0.0
37,60000000,New Line Cinema,USA,John Herzfeld,Action,24403552,15 Minutes,R,3/14/86,120,6.1,Robert De Niro,44327,John Herzfeld,2001,0.0,0.0,6.489473684210527,6.3,6.3,6.1060856498873015,6.453213443396231,6.216789819376035,6.145348837209304,0.0,1.0,1.0,0.0
38,52000000,Alcon Entertainment,USA,Richard Donner,Action,36883539,16 Blocks,PG-13,3/14/86,102,6.6,Bruce Willis,116840,Richard Wenk,2006,0.0,0.0,6.518181818181817,6.745454545454544,6.62,6.1060856498873015,6.254035087719299,6.216789819376035,6.266666666666667,0.0,1.0,1.0,0.0
39,20000000,New Line Cinema,USA,Burr Steers,Comedy,64167069,17 Again,PG-13,3/21/86,102,6.4,Zac Efron,155399,Jason Filardi,2009,0.0,0.0,6.19,6.425,6.0,6.1657692307692304,6.254035087719299,6.216789819376035,6.145348837209304,0.0,1.0,1.0,0.0
40,0,New World Entertainment Films,USA,Paul Flaherty,Comedy,2567099,18 Again!,PG,3/21/86,93,5.7,Charlie Schlatter,3573,Josh Goldstein,1988,0.0,0.0,5.7,5.6000000000000005,5.7,6.1657692307692304,6.143007360672984,6.216789819376035,5.6,0.0,1.0,1.0,0.0
41,0,Polaris Film Production & Finance,France,Julie Delpy,Comedy,4432981,2 Days in Paris,R,3/21/86,96,6.8,Julie Delpy,27948,Julie Delpy,2007,0.0,0.0,6.8,6.8,6.8,6.1657692307692304,6.453213443396231,6.8533568904593585,6.8,0.0,1.0,1.0,0.0
