,movie score,budget,gross,runtime,votes,star avg score,director avg score,writer avg score,genre avg score,rating avg score,country avg score,company avg score,Total Nominations,Total Awards
87,6.5,7000000,19604000,105,4037,6.5,6.1571428571428575,6.566666666666666,7.040389972144843,6.2540350877192985,6.216789819376035,6.466666666666666,1.0,0.0
88,7.1,0,3076425,111,25020,6.633333333333333,7.1,7.083333333333332,6.1657692307692304,6.453213443396231,6.853356890459359,7.35,1.0,0.0
89,5.8,0,417517,118,3474,5.8,6.883333333333334,6.925000000000002,6.1657692307692304,6.453213443396231,6.6606017191977145,5.8,0.0,0.0
90,7.5,0,1083486,100,6285,7.6,6.95,7.5,7.040389972144843,6.143007360672983,6.6606017191977145,6.133333333333333,1.0,0.0
91,7.0,0,154264,95,1461,7.0,7.0,6.8599999999999985,6.715720221606655,6.453213443396231,6.216789819376035,7.0,1.0,0.0
92,5.9,30000000,16930884,108,68510,7.027777777777777,6.45,5.925,6.756321839080459,6.453213443396231,6.216789819376035,6.084210526315791,1.0,0.0
93,6.5,40000000,36663315,123,109400,6.149999999999999,6.373684210526315,6.966666666666666,6.342105263157895,6.453213443396231,6.329850746268655,6.265060240963853,1.0,0.0
94,4.9,0,49835,71,18981,4.9,6.5,4.9,6.715720221606655,6.959195402298849,6.6606017191977145,6.15,1.0,0.0
95,4.7,5000000,4700361,121,2631,5.3,5.5,4.7,6.715720221606655,6.2540350877192985,6.216789819376035,4.7,1.0,0.0
96,5.1,0,2955917,92,3769,5.1,5.1,6.630000000000001,6.1657692307692304,6.453213443396231,6.216789819376035,5.336363636363637,1.0,0.0
97,7.1,8000000,1410915,112,22416,7.316666666666667,6.4,6.4,6.715720221606655,6.453213443396231,6.216789819376035,6.533333333333334,1.0,0.0
98,5.9,17000000,6734844,117,31798,6.358333333333333,6.616666666666667,5.9,6.715720221606655,6.453213443396231,6.216789819376035,5.800000000000002,0.0,0.0
99,8.2,58000000,170742341,135,681379,7.011111111111112,6.840000000000002,6.725,7.040389972144843,6.2540350877192985,6.216789819376035,6.396357615894037,13.0,7.0
100,6.4,0,1982505,125,16900,6.8125,6.7,6.15,6.715720221606655,6.453213443396231,6.958823529411763,6.4,1.0,0.0
101,7.2,0,139511,111,22615,7.5,7.2,7.2,6.715720221606655,6.2540350877192985,6.6606017191977145,6.796296296296298,1.0,0.0
102,7.8,22000000,17266971,121,106183,6.489473684210527,7.25,7.8,6.756321839080459,6.453213443396231,6.216789819376035,6.824999999999998,1.0,0.0
103,7.2,120000000,162798565,95,226736,7.1923076923076925,7.340000000000002,7.257142857142857,6.746931407942238,6.438095238095237,6.216789819376035,7.775000000000001,2.0,0.0
104,5.7,0,216373,100,607,6.8,5.95,5.7,6.1657692307692304,6.143007360672983,6.6606017191977145,5.7,1.0,0.0
105,6.8,200000000,137855863,96,80819,6.740909090909091,7.235714285714286,7.325,6.746931407942238,6.143007360672983,6.216789819376035,6.330392156862747,2.0,1.0
106,5.9,20000000,51438175,95,68595,5.675000000000002,5.7,5.9,6.1657692307692304,6.143007360672983,6.216789819376035,6.3843537414965965,1.0,0.0
107,6.5,75000000,56702901,115,24412,5.904000000000001,6.7333333333333325,6.5,6.715720221606655,6.2540350877192985,6.216789819376035,6.33435114503817,3.0,0.0
108,6.9,15000000,6908797,120,7622,6.590000000000002,6.325,6.9,6.715720221606655,6.2540350877192985,6.685365853658537,5.95,2.0,0.0
109,5.4,0,1494969,82,786,5.4,4.15,5.4,6.1060856498873015,6.143007360672983,6.216789819376035,5.219999999999999,1.0,0.0
110,6.4,40000000,8106986,146,45187,6.75,6.87,6.675,6.715720221606655,6.453213443396231,6.216789819376035,6.042424242424243,1.0,0.0
111,6.5,0,5702083,99,86882,6.6000000000000005,6.8,6.7799999999999985,7.040389972144843,6.453213443396231,6.6606017191977145,6.713333333333334,1.0,0.0
112,5.9,0,1497222,102,1327,5.966666666666666,6.2,5.9,6.715720221606655,6.453213443396231,6.216789819376035,6.416666666666668,1.0,0.0
113,5.1,15000000,1339668,89,11124,5.1,6.316666666666667,6.316666666666667,6.1657692307692304,6.554545454545454,6.216789819376035,6.449999999999998,1.0,0.0
114,7.0,0,3766879,97,3879,5.862500000000002,7.0,7.0,6.715720221606655,6.453213443396231,6.216789819376035,7.0,2.0,0.0
115,6.4,40000000,93953653,129,139962,5.864285714285713,5.855555555555554,6.325,6.1657692307692304,6.2540350877192985,6.329850746268655,6.145348837209303,0.0,0.0
116,6.6,0,12890752,100,2952,6.246666666666667,6.199999999999998,6.6,6.354846938775506,6.143007360672983,6.216789819376035,6.330392156862747,1.0,0.0
117,7.7,40000000,141340178,138,196002,6.974074074074076,6.8066666666666675,7.150000000000001,6.715720221606655,6.453213443396231,6.216789819376035,6.265060240963853,5.0,0.0
118,4.5,0,6029824,90,1164,5.4,5.4,5.433333333333334,6.1060856498873015,6.143007360672983,6.216789819376035,5.3,1.0,0.0
119,7.6,7500000,63493712,108,114144,6.866666666666667,7.6,7.0,6.1657692307692304,6.453213443396231,6.6606017191977145,6.0574257425742575,4.0,1.0
120,5.3,92000000,67349198,98,175817,6.518181818181818,5.739999999999998,6.116666666666667,6.1060856498873015,6.453213443396231,6.216789819376035,6.197073170731709,1.0,0.0
121,5.0,20000000,2308390,94,2032,6.3,6.393750000000002,5.433333333333334,6.1657692307692304,6.453213443396231,6.155555555555555,5.7,1.0,0.0
122,6.2,0,154604,95,18896,6.5,6.2,6.2,6.1657692307692304,6.453213443396231,6.216789819376035,6.825,1.0,0.0
123,6.5,0,223144,93,10196,6.2666666666666675,6.35,6.75,6.715720221606655,6.143007360672983,6.6606017191977145,7.0,1.0,0.0
124,6.9,35000000,7458269,117,76333,7.011111111111112,6.915789473684211,6.466666666666666,6.1657692307692304,6.2540350877192985,6.216789819376035,6.270689655172415,1.0,0.0
125,6.8,0,35348597,78,36877,6.8,6.2333333333333325,6.8,6.746931407942238,6.438095238095237,6.216789819376035,6.330392156862747,1.0,0.0
126,7.0,0,516139,100,23014,7.0294117647058805,6.3,7.0,6.756321839080459,6.453213443396231,6.216789819376035,6.550000000000002,1.0,0.0
127,5.6,20000000,15408822,101,14915,5.1,5.3,6.3,6.1657692307692304,6.2540350877192985,6.216789819376035,6.0574257425742575,1.0,0.0
128,6.8,0,1560700,100,1519,7.25,6.633333333333333,6.8,6.715720221606655,6.143007360672983,6.6606017191977145,6.3,2.0,0.0
129,5.1,2500000,40041683,86,37158,5.38,4.9,4.9,6.1657692307692304,6.453213443396231,6.216789819376035,5.699999999999998,1.0,0.0
130,4.7,4000000,17329486,86,16194,5.38,4.9,4.9,6.1657692307692304,6.453213443396231,6.216789819376035,4.7,1.0,0.0
131,7.2,0,413276,103,13530,7.2,7.2,7.75,6.715720221606655,6.453213443396231,7.13939393939394,7.166666666666668,1.0,0.0
132,7.5,32000000,31493782,96,198947,7.12,6.8,6.7,6.756321839080459,6.453213443396231,6.216789819376035,6.145348837209303,3.0,0.0
133,6.1,30000000,4198126,98,29436,7.074285714285716,7.066666666666667,6.6,6.1657692307692304,6.453213443396231,6.6606017191977145,7.325,1.0,0.0
134,6.8,6500000,1029872,97,12420,6.625,6.5,7.199999999999998,6.715720221606655,6.453213443396231,6.216789819376035,6.85,1.0,0.0
135,7.1,12000000,1703282,104,2416,6.9,6.539999999999999,6.8599999999999985,7.040389972144843,6.143007360672983,6.216789819376035,6.575,1.0,0.0
136,4.8,15000000,13406717,89,4897,5.35,4.949999999999998,4.8,6.354846938775506,6.143007360672983,6.216789819376035,5.233333333333333,1.0,0.0
137,5.7,0,15429177,94,4042,6.199999999999998,5.7,5.266666666666667,6.756321839080459,6.453213443396231,6.6606017191977145,6.396357615894037,1.0,0.0
138,6.9,65000000,56569702,132,146093,6.65,6.74,6.630000000000001,6.1060856498873015,6.2540350877192985,6.216789819376035,6.265060240963853,1.0,0.0
139,7.1,0,1561577,105,12008,7.06,7.1,7.1,6.715720221606655,6.453213443396231,6.216789819376035,7.1,1.0,0.0
140,7.2,40000000,107533928,128,77047,7.074285714285716,6.6000000000000005,7.2,6.1657692307692304,6.143007360672983,6.216789819376035,6.265060240963853,1.0,0.0
141,6.4,12000000,4266243,103,31471,6.03,7.281818181818181,6.659999999999998,6.1657692307692304,6.453213443396231,6.6606017191977145,6.988888888888887,1.0,0.0
142,6.3,0,10011,100,24736,5.8875,6.75,6.3,6.1657692307692304,6.2540350877192985,6.216789819376035,6.183333333333334,1.0,0.0
143,6.5,0,551609,112,15294,6.825,6.5,6.666666666666668,6.715720221606655,6.453213443396231,6.6606017191977145,6.796296296296298,1.0,0.0
144,5.7,0,85789,100,2787,5.7,5.7,5.7,6.1657692307692304,6.453213443396231,6.216789819376035,5.7,1.0,0.0
145,7.7,17000000,10019307,97,26945,7.7,7.542857142857144,7.5,6.715720221606655,6.438095238095237,6.216789819376035,6.3843537414965965,3.0,0.0
146,6.4,0,13093,96,27014,6.37894736842105,6.6,7.050000000000002,6.1657692307692304,6.453213443396231,6.6606017191977145,6.95,1.0,0.0
147,6.6,30000000,21835784,107,61081,5.977777777777778,6.9,6.6,6.1657692307692304,6.2540350877192985,6.216789819376035,6.33435114503817,1.0,0.0
148,7.2,0,159171,119,23027,6.6800000000000015,7.2,7.2,6.715720221606655,6.453213443396231,6.216789819376035,6.227272727272728,1.0,0.0
149,5.9,10000000,29392418,100,4331,6.0,5.633333333333333,5.5600000000000005,6.1060856498873015,6.453213443396231,6.216789819376035,5.688888888888888,1.0,0.0
150,5.8,0,227510,112,496,5.8,5.8,5.8,6.715720221606655,6.143007360672983,6.853356890459359,5.8,1.0,0.0
